id,job,first_name,last_name,username,password,pos_id
101,Manager,Virginia,Hanson,parturient,libero,1
102,Order_picker,Ishmael,Massey,vellkjg,adipiscing.,1
103,Receptionist,Sybil,Buckner,Phasellus,massa.,1
104,Delivery_man,Justina,Chase,Etiam,interdum,1
105,Order_picker,Whitney,Mcmahon,felis,Proin,2
106,Delivery_man,Clinton,Riddle,porttitor,justo,2
107,Manager,Gay,Obrien,metus,Nullam,2
108,Receptionist,Lacey,Walsh,bibendum,Suspendisse,2
109,Order_picker,Brock,Patel,Aliquam,acyeryb,3
110,Receptionist,Tanya,Petersen,Vivamus,elitnx,3
111,Manager,Ira,Sargent,quis,Sednvdb,3
112,Delivery_man,Yasir,Zamora,sapien,lobortis,3
113,Order_picker,Hedy,Vang,euretuio,dolor.,4
114,Delivery_man,Leo,Franco,molestie,ultrices,4
115,Receptionist,Jeremy,Sheppard,Curabitur,urna,4
116,Manager,Troy,Burke,ante,Donec,4
117,Order_picker,Herrod,Henderson,Maecenas,sembrxb,5
118,Receptionist,Lucian,Craig,Nulla,ytreza,5
119,Delivery_man,Sasha,Mcdonald,utgfhjk,poiuyt,5
120,Manager,John,Lennon,yoko,azerty,5
